epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7986,1.10942,2.43982,1.42756,0.34757,0.45147,0.38676,0.21819,1.36478,2.20805,1.78849,0.0003636,0.0003636,0.0003636
2,54.0227,1.25488,1.9404,1.51653,0.61745,0.22444,0.23476,0.11937,1.78577,3.00816,2.24224,0.000721823,0.000721823,0.000721823
3,76.8161,1.35248,1.96799,1.60747,0.13966,0.24196,0.12766,0.05991,1.97923,4.59441,2.40254,0.00106783,0.00106783,0.00106783
4,98.7433,1.35918,1.98199,1.59479,0.64052,0.21112,0.14376,0.07334,1.74265,3.21156,2.25194,0.00105601,0.00105601,0.00105601
5,121.335,1.31622,1.89366,1.55347,0.37875,0.35093,0.25271,0.13744,1.76798,3.12183,2.16915,0.00103767,0.00103767,0.00103767
6,144.169,1.31629,1.87908,1.57363,0.52374,0.30472,0.31793,0.18292,1.57275,2.24087,1.93919,0.00101934,0.00101934,0.00101934
7,166.274,1.31818,1.80432,1.59462,0.3577,0.39255,0.36394,0.19614,1.60639,2.30655,2.03479,0.00100101,0.00100101,0.00100101
8,188.431,1.25399,1.73196,1.52434,0.48619,0.4408,0.42873,0.2399,1.64713,2.21119,2.02374,0.000982679,0.000982679,0.000982679
9,210.709,1.26061,1.71641,1.52001,0.5379,0.28805,0.26755,0.16233,1.63774,3.03407,1.91964,0.000964348,0.000964348,0.000964348
10,232.449,1.2294,1.65122,1.49005,0.55713,0.41583,0.43975,0.30595,1.39103,1.877,1.74257,0.000946016,0.000946016,0.000946016
11,254.617,1.18409,1.60925,1.48477,0.45536,0.40501,0.3709,0.22275,1.55635,2.29703,1.9319,0.000927685,0.000927685,0.000927685
12,277.058,1.17556,1.54094,1.44884,0.62717,0.28372,0.35674,0.25061,1.4301,1.99095,1.75411,0.000909353,0.000909353,0.000909353
13,299.119,1.14313,1.50846,1.44453,0.46499,0.4378,0.41734,0.27119,1.51429,2.01721,1.81685,0.000891022,0.000891022,0.000891022
14,321.287,1.13918,1.47675,1.44884,0.49202,0.41506,0.44385,0.29739,1.43123,1.91237,1.73773,0.000872691,0.000872691,0.000872691
15,344.021,1.09138,1.39725,1.39779,0.60155,0.45876,0.50851,0.35261,1.34453,1.78839,1.65414,0.000854359,0.000854359,0.000854359
16,366.7,1.06223,1.36219,1.39271,0.56054,0.45122,0.48259,0.32979,1.3496,1.80261,1.73836,0.000836027,0.000836027,0.000836027
