epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4409,1.21028,2.17009,1.34532,0.44638,0.37006,0.35809,0.20742,1.44326,1.90897,1.5927,0.000365117,0.000365117,0.000365117
2,57.3613,1.284,1.79228,1.45229,0.16151,0.32348,0.14537,0.0774,1.8102,3.0695,1.99351,0.00072635,0.00072635,0.00072635
3,81.8305,1.38206,1.87331,1.51614,0.33063,0.15943,0.13967,0.068,2.06248,4.86281,2.05262,0.00107842,0.00107842,0.00107842
4,106.449,1.41254,1.89763,1.55587,0.36269,0.25555,0.20497,0.10649,1.7675,2.73239,1.8381,0.00106975,0.00106975,0.00106975
5,131.061,1.39037,1.87075,1.54457,0.44553,0.28537,0.28424,0.16754,1.61178,2.03454,1.77711,0.00105601,0.00105601,0.00105601
6,156.149,1.35953,1.75901,1.50385,0.53186,0.32474,0.33176,0.18688,1.5941,2.01133,1.7248,0.00104226,0.00104226,0.00104226
7,180.917,1.30589,1.68263,1.48076,0.58975,0.29086,0.33692,0.20642,1.50419,2.08916,1.73936,0.00102851,0.00102851,0.00102851
8,205.513,1.26561,1.61228,1.44062,0.38181,0.43309,0.34548,0.22259,1.49947,2.00882,1.61322,0.00101476,0.00101476,0.00101476
9,230.455,1.23817,1.57601,1.42325,0.57631,0.41558,0.4289,0.24504,1.52674,1.79336,1.67274,0.00100101,0.00100101,0.00100101
10,255.347,1.23622,1.54537,1.41727,0.58109,0.37955,0.45002,0.26182,1.52809,1.69518,1.674,0.000987262,0.000987262,0.000987262
11,280.297,1.18007,1.45565,1.38332,0.57377,0.40591,0.42475,0.28171,1.44861,1.6379,1.60013,0.000973514,0.000973514,0.000973514
12,305.049,1.15976,1.40353,1.36545,0.59106,0.47866,0.48636,0.31484,1.46319,1.56497,1.56061,0.000959765,0.000959765,0.000959765
13,329.679,1.15848,1.3903,1.36301,0.55403,0.38126,0.44791,0.28302,1.39531,1.65843,1.59439,0.000946016,0.000946016,0.000946016
14,354.296,1.12329,1.2959,1.33733,0.63773,0.45127,0.4735,0.31492,1.3966,1.76476,1.55388,0.000932268,0.000932268,0.000932268
15,378.6,1.10279,1.31866,1.35887,0.59075,0.50431,0.52081,0.32758,1.37958,1.5703,1.52742,0.000918519,0.000918519,0.000918519
16,402.743,1.09034,1.24208,1.32351,0.41828,0.47833,0.39861,0.25654,1.37847,1.60086,1.51201,0.000904771,0.000904771,0.000904771
17,427.377,1.09917,1.26805,1.33157,0.60205,0.51204,0.52934,0.34981,1.36051,1.55865,1.51311,0.000891022,0.000891022,0.000891022
18,452.261,1.05585,1.17902,1.29391,0.77185,0.45472,0.57427,0.41665,1.26283,1.32511,1.44877,0.000877273,0.000877273,0.000877273
19,477.111,1.05384,1.1332,1.29099,0.53274,0.52414,0.51726,0.35668,1.38424,1.40609,1.5463,0.000863525,0.000863525,0.000863525
20,501.633,1.04529,1.13611,1.30512,0.57607,0.49951,0.48207,0.3394,1.3025,1.55456,1.45307,0.000849776,0.000849776,0.000849776
21,526.542,1.03707,1.11237,1.26122,0.59896,0.49588,0.52483,0.35295,1.30734,1.46838,1.48769,0.000836027,0.000836027,0.000836027
22,550.967,0.99276,1.07191,1.26995,0.61917,0.49944,0.531,0.36888,1.24573,1.37815,1.43008,0.000822279,0.000822279,0.000822279
23,574.993,1.00253,1.0688,1.27428,0.5575,0.51442,0.5442,0.36809,1.38075,1.49357,1.5074,0.00080853,0.00080853,0.00080853
24,599.349,0.99058,1.04907,1.23697,0.60616,0.51401,0.54871,0.35529,1.3566,1.44464,1.54791,0.000794782,0.000794782,0.000794782
25,623.635,0.94534,1.03022,1.24334,0.65953,0.50045,0.5592,0.38989,1.2726,1.3087,1.4648,0.000781033,0.000781033,0.000781033
26,648.11,0.94628,0.99858,1.22058,0.58199,0.51791,0.53818,0.35208,1.29317,1.39764,1.4809,0.000767284,0.000767284,0.000767284
27,672.672,0.94692,0.98282,1.21879,0.55983,0.53786,0.52197,0.35178,1.27965,1.51728,1.46811,0.000753536,0.000753536,0.000753536
28,697.344,0.91525,0.92627,1.21758,0.61644,0.53631,0.5448,0.39215,1.25455,1.39518,1.43217,0.000739787,0.000739787,0.000739787
29,722.051,0.91171,0.90655,1.21105,0.61459,0.49636,0.5167,0.37745,1.26474,1.40239,1.47369,0.000726038,0.000726038,0.000726038
30,746.836,0.9173,0.91148,1.199,0.71415,0.48063,0.57204,0.39679,1.32288,1.44518,1.48936,0.00071229,0.00071229,0.00071229
31,771.433,0.90123,0.89371,1.19778,0.62775,0.58001,0.5794,0.41027,1.24812,1.31534,1.43997,0.000698541,0.000698541,0.000698541
32,795.394,0.88001,0.83943,1.17962,0.62929,0.50472,0.54486,0.40233,1.24452,1.36956,1.42004,0.000684793,0.000684793,0.000684793
33,819.712,0.8937,0.86648,1.17787,0.67413,0.53825,0.58674,0.41389,1.28884,1.26692,1.49638,0.000671044,0.000671044,0.000671044
34,844.157,0.86278,0.83575,1.1593,0.64375,0.55968,0.57953,0.41814,1.2617,1.32813,1.45255,0.000657295,0.000657295,0.000657295
35,868.513,0.86302,0.82978,1.17172,0.66674,0.55329,0.60036,0.41188,1.30149,1.26237,1.49143,0.000643547,0.000643547,0.000643547
36,892.67,0.82156,0.78946,1.15036,0.68844,0.56363,0.60255,0.43647,1.26671,1.27562,1.47536,0.000629798,0.000629798,0.000629798
37,917.007,0.83844,0.78475,1.15584,0.67772,0.58606,0.6131,0.41716,1.30992,1.27168,1.53769,0.000616049,0.000616049,0.000616049
38,941.178,0.83833,0.78377,1.13863,0.63123,0.52512,0.59921,0.42534,1.23442,1.35992,1.43248,0.000602301,0.000602301,0.000602301
39,965.48,0.80092,0.76345,1.13508,0.56295,0.59941,0.59467,0.42015,1.26148,1.37542,1.46208,0.000588552,0.000588552,0.000588552
40,989.678,0.80479,0.7416,1.1344,0.69729,0.54325,0.57363,0.39817,1.28279,1.37499,1.48518,0.000574804,0.000574804,0.000574804
